author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
Петербургская Строительная Компания;Застройщик;Sankt-Peterburg;1;7;1;38.2;419999.0;16044000;2023;12.0;12.0;Petrogradskij;Chkalovskoe;Petrogradskaja
Петербургская Строительная Компания;Застройщик;Sankt-Peterburg;13;25;1;36.81;33201.0;6706674;2024;10.0;13.0;Primorskij;Kolomjagi;Prospekt Prosveschenija
GloraX;Застройщик;Sankt-Peterburg;5;19;1;36.76;265777.0;9769999;2025;11.0;11.0;Vasileostrovskij;Morskoj;Zenit
Группа Эталон;Застройщик;Sankt-Peterburg;13;18;1;32.6;303116.0;9881582;2022;21.0;;Admiraltejskij;Izmajlovskoe;Moskovskie vorota
GloraX;Застройщик;Sankt-Peterburg;11;14;1;34.44;322009.0;11089999;2024;12.0;13.0;Krasnogvardejskij;Malaja Ohta;Ladozhskaja
GloraX;Застройщик;Sankt-Peterburg;12;15;1;46.3;249891.0;11569999;2024;14.0;26.0;Krasnogvardejskij;Malaja Ohta;Ladozhskaja
GloraX;Застройщик;Sankt-Peterburg;7;18;1;36.68;281897.0;10339999;2024;11.0;14.0;Vasileostrovskij;Morskoj;Primorskaja
Группа Эталон;Застройщик;Sankt-Peterburg;2;9;1;35.37;264381.0;9351187;2024;12.0;11.0;Kalininskij;Finljandskij;Vyborgskaja
AAG;Застройщик;Sankt-Peterburg;4;7;1;79.72;393246.0;31349593;2024;18.0;27.0;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja
AAG;Застройщик;Sankt-Peterburg;3;9;1;45.69;304224.0;13900000;2024;12.0;16.0;Krasnogvardejskij;Pomjalovskogo;Novocherkasskaja
ПИК;Застройщик;Sankt-Peterburg;1;9;1;41.2;308610.0;12714732;2025;24.0;8.0;Admiraltejskij;Izmajlovskoe;Baltijskaja
Группа Эталон;Застройщик;Sankt-Peterburg;2;25;1;38.0;207961.0;7902518;2024;13.0;11.0;Primorskij;Kolomjagi;Prospekt Prosveschenija
