author;city;district;street;underground
Петербургская Строительная Компания;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Petrogradskaja
Петербургская Строительная Компания;Sankt-Peterburg;Primorskij;Kolomjagi;Prospekt Prosveschenija
GloraX;Sankt-Peterburg;Vasileostrovskij;Morskoj;Zenit
GloraX;Sankt-Peterburg;Krasnogvardejskij;Malaja Ohta;Ladozhskaja
GloraX;Sankt-Peterburg;Krasnogvardejskij;Malaja Ohta;Ladozhskaja
GloraX;Sankt-Peterburg;Vasileostrovskij;Morskoj;Primorskaja
Группа Эталон;Sankt-Peterburg;Kalininskij;Finljandskij;Vyborgskaja
AAG;Sankt-Peterburg;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja
AAG;Sankt-Peterburg;Krasnogvardejskij;Pomjalovskogo;Novocherkasskaja
ПИК;Sankt-Peterburg;Admiraltejskij;Izmajlovskoe;Baltijskaja
Группа Эталон;Sankt-Peterburg;Primorskij;Kolomjagi;Prospekt Prosveschenija
LEGENDA Intelligent Development;Sankt-Peterburg;Primorskij;Starobel'skaja;Chernaja rechka
LEGENDA Intelligent Development;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
Группа Эталон;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
RBI;Sankt-Peterburg;Admiraltejskij;12-ja Krasnoarmejskaja;Baltijskaja
LEGENDA Intelligent Development;Sankt-Peterburg;Krasnogvardejskij;Malaja Ohta;Novocherkasskaja
LEGENDA Intelligent Development;Sankt-Peterburg;Vasileostrovskij;20-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
LEGENDA Intelligent Development;Sankt-Peterburg;Vyborgskij;Svetlanovskoe;Ploschad' Muzhestva
РСТИ;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Группа Эталон;Sankt-Peterburg;Nevskij;Nevskaja zastava;Elizarovskaja
RBI;Sankt-Peterburg;Tsentral'nyj;Mirgorodskaja;Majakovskaja
AAG;Sankt-Peterburg;Krasnogvardejskij;Bol'shaja Ohta;Novocherkasskaja
Группа Эталон;Sankt-Peterburg;Primorskij;Beloostrovskaja;Chernaja rechka
Группа Эталон;Sankt-Peterburg;Primorskij;Beloostrovskaja;Chernaja rechka
Группа Эталон;Sankt-Peterburg;Admiraltejskij;Kurljandskaja;Baltijskaja
ПИК;Sankt-Peterburg;Vasileostrovskij;Gavan';Gornyj institut
Отделстрой;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Lesnaja
Базис;Sankt-Peterburg;Primorskij;Beloostrovskaja;Lesnaja
РСТИ;Sankt-Peterburg;Kalininskij;Finljandskij;Vyborgskaja
GloraX;Sankt-Peterburg;Vasileostrovskij;Cheljuskina;Primorskaja
RBI;Sankt-Peterburg;Primorskij;Plesetskaja;Komendantskij prospekt
ПИК;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Lesnaja
ПИК;Sankt-Peterburg;Frunzenskij;Volkovskoe;Obvodnyj kanal
RBI;Sankt-Peterburg;Admiraltejskij;11-ja Krasnoarmejskaja;Baltijskaja
ПИК;Sankt-Peterburg;Frunzenskij;Volkovskoe;Volkovskaja
RBI;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Moskovskie vorota
Elba;Sankt-Peterburg;Frunzenskij;Prilukskaja;Obvodnyj kanal
Группа Эталон;Sankt-Peterburg;Moskovskij;Parfenovskaja;Moskovskie vorota
Группа Эталон;Sankt-Peterburg;Moskovskij;Chernigovskaja;Moskovskie vorota
Полис;Sankt-Peterburg;Primorskij;Juntolovo;Komendantskij prospekt
ID 12601570;Sankt-Peterburg;Vasileostrovskij;Gavan';Primorskaja
СЕНАТОР;Sankt-Peterburg;Nevskij;Narodnyj;Lomonosovskaja
Арсенал-Недвижимость;Sankt-Peterburg;Primorskij;Juntolovo;Staraja Derevnja
Полис;Sankt-Peterburg;Primorskij;Juntolovo;Begovaja
Группа Аквилон;Sankt-Peterburg;Vasileostrovskij;Gavan';Gornyj institut
Росстройинвест;Sankt-Peterburg;Kalininskij;Finljandskij;Lesnaja
АБСОЛЮТ СТРОЙ СЕРВИС;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Lesnaja
РосСтройИнвест;Sankt-Peterburg;Moskovskij;Novoizmajlovskoe;Leninskij prospekt
Меринг Девелопмент;Sankt-Peterburg;Admiraltejskij;Semenovskij;Pushkinskaja
Garnet;Sankt-Peterburg;Nevskij;Nevskij;Ulitsa Dybenko
ИЛЬИЧ home;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
Мегалит–Охта Групп;Sankt-Peterburg;Primorskij;Komendantskij aerodrom;Pionerskaja
Euroinvest Development;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Frunzenskaja
РосСтройИнвест;Sankt-Peterburg;Primorskij;Juntolovo;Begovaja
ЛСР. Недвижимость;Sankt-Peterburg;Nevskij;Krylenko;Ulitsa Dybenko
Петербургская Строительная Компания;Sankt-Peterburg;Moskovskij;Kievskaja;Frunzenskaja
Euroinvest Development;Sankt-Peterburg;Moskovskij;Syzranskaja;Elektrosila
Росстройинвест;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Akademicheskaja
Garnet;Sankt-Peterburg;Vyborgskij;Zelenogorskaja;Pionerskaja
Группа Аквилон;Sankt-Peterburg;Moskovskij;Zvezdnoe;Zvezdnaja
Группа Эталон;Sankt-Peterburg;Primorskij;Kolomjagi;Komendantskij prospekt
КВС;Sankt-Peterburg;Krasnosel'skij;Marshala Kazakova;Prospekt Veteranov
КВС;Sankt-Peterburg;Vyborgskij;Arhitektora Belova;Parnas
Игорь Аболемов;Sankt-Peterburg;Primorskij;Bogatyrskij prospekt;Komendantskij prospekt
Golden Home;Sankt-Peterburg;Kalininskij;Brjantseva;Grazhdanskij prospekt
КВС;Sankt-Peterburg;Moskovskij;Lensoveta;Moskovskaja
Прагма;Sankt-Peterburg;Vyborgskij;doroga Ol'ginskaja;Parnas
ЛСР. Недвижимость;Sankt-Peterburg;Krasnosel'skij;Jugo-Zapad;Leninskij prospekt
ЛСР. Недвижимость;Sankt-Peterburg;Vasileostrovskij;Gavan';Gornyj institut
Euroinvest Development;Sankt-Peterburg;Vyborgskij;Svetlanovskoe;Udel'naja
БФА-Девелопмент;Sankt-Peterburg;Krasnosel'skij;Marshala Zaharova;Avtovo
ЛСР. Недвижимость;Sankt-Peterburg;Nevskij;Nevskij;Novocherkasskaja
ЛСР. Недвижимость;Sankt-Peterburg;Krasnogvardejskij;Bol'shaja Ohta;Novocherkasskaja
Росстройинвест;Sankt-Peterburg;Primorskij;Planernaja;Komendantskij prospekt
ЛСР. Недвижимость;Sankt-Peterburg;Vasileostrovskij;Gavan';Gornyj institut
Группа Аквилон;Sankt-Peterburg;Primorskij;Planernaja;Komendantskij prospekt
ЛСР. Недвижимость;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
ГлавстройСПб;Sankt-Peterburg;Vyborgskij;Parnas;Parnas
ГлавстройСПб;Sankt-Peterburg;Primorskij;Ivinskaja;Begovaja
ИЛЬИЧ home;Sankt-Peterburg;Primorskij;Chernaja rechka;Lesnaja
House Estate;Sankt-Peterburg;Primorskij;Gluharskaja;Komendantskij prospekt
ЛСР. Недвижимость;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Akademicheskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;Obuhovskij;Proletarskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Petrodvortsovyj;Chebyshevskaja;Avtovo
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;Podvojskogo;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Optikov;Begovaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Pushkinskij;Visherskaja;Kupchino
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;Krylenko;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Savushkina;Begovaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Parashjutnaja;Komendantskij prospekt
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vyborgskij;Valerija Gavrilina;Parnas
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;Rusanovskaja;Rybatskoe
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Optikov;Begovaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Petrodvortsovyj;Krasnosel'skoe shosse;Prospekt Veteranov
BE HOME;Sankt-Peterburg;Vasileostrovskij;Ostrov Dekabristov;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Krasnosel'skij;Sosnovaja poljana;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Akademicheskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Krasnosel'skij;Gorelovo;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Pushkinskij;Visherskaja;Kupchino
ID 13778959;Sankt-Peterburg;Pushkinskij;Pavlovskoe shosse;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;prospekt Bol'shevikov;Ulitsa Dybenko
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vyborgskij;Simonova;Prospekt Prosveschenija
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vyborgskij;Nikolaja Rubtsova;Parnas
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Kalininskij;Rustaveli;Grazhdanskij prospekt
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Krasnosel'skij;Letchika Liholetova;Prospekt Veteranov
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Kolomjagi;Parnas
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Kolomjagi;Komendantskij prospekt
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vasileostrovskij;Morskoj;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Moskovskij;Zvezdnoe;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Novaja;Begovaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Primorskij;Kolomjagi;Prospekt Prosveschenija
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Moskovskij;Zvezdnoe;Zvezdnaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Nevskij;Nevskaja zastava;Elizarovskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Moskovskij;Pulkovskij meridian;Moskovskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vasileostrovskij;Cheljuskina;Primorskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Kurortnyj;Primorskoe shosse;Begovaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Kirovskij;Dvinskaja;Baltijskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Tsentral'nyj;Kremenchugskaja;Ploschad' Vosstanija
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Moskovskij;Malaja Mitrofan'evskaja;Moskovskie vorota
ID 90776416;Sankt-Peterburg;Vyborgskij;Aleksandra Matrosova;Lesnaja
Елена Попова;Sankt-Peterburg;Primorskij;Chernaja rechka;Chernaja rechka
М16;Sankt-Peterburg;Primorskij;Dibunovskaja;Staraja Derevnja
House Estate;Sankt-Peterburg;Moskovskij;Tipanova;Moskovskaja
ID 48712443;Sankt-Peterburg;Primorskij;Kolomjagi;Komendantskij prospekt
КВС;Sankt-Peterburg;Kurortnyj;Sadovaja;Prospekt Prosveschenija
House Estate;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Moskovskie vorota
NEDmax;Sankt-Peterburg;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Vosstanija
Рикэл;Sankt-Peterburg;Kalininskij;Prometej;Grazhdanskij prospekt
