author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/284740225/;Sankt-Peterburg;sale;flat;1;7;1;38.2;419999;16044000;2023;12.0;12.0;+78122181249;Petrogradskij;Chkalovskoe;Petrogradskaja;Severnaja Korona
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/280819981/;Sankt-Peterburg;sale;flat;13;25;-1;202.0;33201;6706674;2024;10.0;13.0;+78122181233;Primorskij;Kolomjagi;Prospekt Prosveschenija;Frends ZhK
GloraX;developer;https://spb.cian.ru/sale/flat/279507591/;Sankt-Peterburg;sale;flat;5;19;1;36.76;265777;9769999;2025;11.0;11.0;+78122134320;Vasileostrovskij;Morskoj;Zenit;Gloraks Premium Vasileostrovskij ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285017335/;Sankt-Peterburg;sale;flat;13;18;1;32.6;303116;9881582;2022;21.0;-1;+78122134074;Admiraltejskij;Izmajlovskoe;Moskovskie vorota;Kvartal Galaktika
GloraX;developer;https://spb.cian.ru/sale/flat/279351916/;Sankt-Peterburg;sale;flat;11;14;1;34.44;322009;11089999;2024;12.0;13.0;+78122134124;Krasnogvardejskij;Malaja Ohta;Ladozhskaja;Glorax Zanevskij
GloraX;developer;https://spb.cian.ru/sale/flat/279351422/;Sankt-Peterburg;sale;flat;12;15;1;46.3;249891;11569999;2024;14.0;26.0;+78122134168;Krasnogvardejskij;Malaja Ohta;Ladozhskaja;Apart-otel' 25/7 Zanevskij
GloraX;developer;https://spb.cian.ru/sale/flat/282487067/;Sankt-Peterburg;sale;flat;7;18;1;36.68;281897;10339999;2024;11.0;14.0;+78122134219;Vasileostrovskij;Morskoj;Primorskaja;GloraX Vasileostrovskij
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283802418/;Sankt-Peterburg;sale;flat;2;9;1;35.37;264381;9351187;2024;12.0;11.0;+78122132252;Kalininskij;Finljandskij;Vyborgskaja;iLona
AAG;developer;https://spb.cian.ru/sale/flat/276667380/;Sankt-Peterburg;sale;flat;4;7;1;79.72;393246;31349593;2024;18.0;27.0;+78124269984;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja;Amo
AAG;developer;https://spb.cian.ru/sale/flat/284367840/;Sankt-Peterburg;sale;flat;3;9;1;45.69;304224;13900000;2024;12.0;16.0;+78124263208;Krasnogvardejskij;Pomjalovskogo;Novocherkasskaja;Akzent
ПИК;developer;https://spb.cian.ru/sale/flat/270665297/;Sankt-Peterburg;sale;flat;1;9;1;41.2;308610;12714732;2025;24.0;8.0;+78122134151;Admiraltejskij;Izmajlovskoe;Baltijskaja;Lermontovskij 54 ZhK
